Name,Lat,Lon,country,state,Population
Albury,-36.07494,146.92394,AU,2,45627
South Brisbane,-27.48034,153.02049,AU,4,60000
Cheltenham,-37.96944,145.04806,AU,7,20292
Randwick,-33.91439,151.24895,AU,2,25819
Dee Why,-33.75,151.3,AU,2,17463
Umina,-33.52314,151.31325,AU,2,16059
Palmerston,-12.48602,130.9833,AU,3,25000
Bracken Ridge,-27.3171,153.03097,AU,4,15355
North Ryde,-33.79677,151.12436,AU,2,17208
Hoppers Crossing,-37.88264,144.7003,AU,7,38108
Logan City,-27.63917,153.10944,AU,4,282673
Carindale,-27.50578,153.10236,AU,4,15135
